Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (mm),TCP_ry (mm),TCP_rz (mm),Robot_I (A)
1.01,156.0,-779.7,242.0,1.228,1.171,-1.208,1.196
3.507,156.0,-779.7,242.0,1.228,1.171,-1.208,1.125
5.0569999999999995,156.0,-779.7,242.0,1.228,1.171,-1.208,1.125
7.059,156.0,-779.7,242.0,1.228,1.171,-1.208,1.125
11.709999999999999,156.0,-779.7,242.0,1.228,1.171,-1.208,1.125
14.804,156.0,-779.7,242.0,1.228,1.171,-1.208,1.231
16.831,156.0,-779.7,242.0,1.228,1.171,-1.208,1.231
19.576,156.0,-779.8,242.0,1.228,1.171,-1.208,1.195
22.576999999999998,156.0,-779.8,242.0,1.228,1.171,-1.208,1.195
25.117,156.0,-779.8,242.0,1.228,1.171,-1.208,1.195
30.631999999999998,156.0,-779.8,242.0,1.228,1.171,-1.208,1.196
32.632,156.0,-779.8,242.0,1.228,1.171,-1.208,1.196
35.535,156.0,-779.8,242.0,1.228,1.171,-1.208,1.16
37.166,156.0,-779.8,242.0,1.228,1.171,-1.208,1.16
39.689,156.0,-779.8,242.0,1.228,1.171,-1.208,1.16
41.716,156.0,-779.8,242.0,1.228,1.171,-1.208,1.16
44.251,156.0,-779.8,242.0,1.228,1.171,-1.208,1.266
46.449,156.0,-779.8,242.0,1.228,1.171,-1.208,1.266
48.463,156.0,-779.8,242.0,1.228,1.171,-1.208,1.266
50.544,156.0,-779.8,242.0,1.228,1.171,-1.208,1.231
52.561,156.0,-779.8,242.0,1.228,1.171,-1.208,1.231
56.101,156.0,-779.8,242.0,1.228,1.171,-1.208,1.231
59.621,156.0,-779.8,242.0,1.228,1.171,-1.208,1.231
61.633,156.0,-779.8,242.0,1.228,1.171,-1.208,1.125
64.201,156.0,-779.8,242.0,1.228,1.171,-1.208,1.125
66.555,156.0,-779.8,242.0,1.228,1.171,-1.208,1.125
68.55,156.0,-779.8,242.0,1.228,1.171,-1.208,1.125
71.11399999999999,156.0,-779.8,242.0,1.228,1.171,-1.208,1.196
74.14,156.0,-779.8,242.0,1.228,1.171,-1.208,1.196
76.166,156.0,-779.8,242.0,1.228,1.171,-1.208,1.196
78.167,156.0,-779.8,242.0,1.228,1.171,-1.208,1.125
81.372,156.0,-779.8,242.0,1.228,1.171,-1.208,1.125
